"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o54583",981,2607,3,0,0,0,0,0,0,0,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o76638",982,11330,121,0,0,1,25,0,1,3,0,2,50,1,31,1,"True","False","True",2,NA,"",NA,"",""
"o9953",982,5957,11,0,0,0,3,0,0,1,1,0,1,1,1,1,"True","False","True",2,NA,"",NA,"",""
"o21082",983,2645,7,0,0,0,1,0,0,1,0,0,2,2,0,1,"True","False","True",2,NA,"",NA,"",""
"o16720",984,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o54578",984,2895,6,0,0,0,1,0,0,0,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o37720",985,3479,7,0,1,0,0,0,0,0,0,0,1,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o90306",987,1425,4,0,1,0,0,0,0,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o32514",987,3647,5,0,0,0,0,0,0,1,1,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o49808",987,4770,7,0,0,0,1,0,1,0,2,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o9966",988,7186,3198,0,0,0,7,0,2942,1,243,0,3,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o7376",988,3169,6,0,0,0,1,0,0,1,0,0,2,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o27021",989,1969,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o53075",990,1939,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o9924",990,4192,21,0,0,0,9,0,2,0,1,0,6,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o60760",990,3181,8,0,0,0,3,0,1,0,0,0,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o68824",990,1473,6,0,0,0,0,0,0,1,0,0,1,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o6261",991,4266,12,0,1,0,5,0,0,1,2,0,1,1,0,1,"True","False","True",2,NA,"",NA,"",""
