objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o64015,3347,14065,40,39,true,1,1,0,7,0,1,4,7,2,6,1,1,1,true,false,true,2,,,,,
o42148,3352,16017,37,36,true,1,1,0,3,0,3,4,2,1,9,1,1,2,true,false,true,2,,,,,
o35905,3353,19203,31,30,true,1,0,0,1,0,0,4,4,0,8,2,2,0,true,false,true,2,,,,,
o62958,3354,21124,38,37,true,1,1,0,1,0,1,5,4,1,5,1,1,4,true,false,true,2,,,,,
o4850,3355,9124,19,18,true,1,1,0,1,0,1,1,1,0,6,0,0,1,true,false,true,2,,,,,
o60864,3356,16090,32,30,true,1,1,0,3,0,2,4,3,0,5,1,1,1,true,false,true,2,,,,,
o67270,3356,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o79504,3356,6418,16,15,true,0,0,0,1,0,0,1,0,0,7,0,1,0,true,false,true,2,,,,,
o66203,3357,17985,40,39,true,1,0,0,8,0,4,5,3,1,6,1,1,0,true,false,true,2,,,,,
o13095,3358,13577,27,26,true,2,0,0,1,0,1,3,4,0,7,0,1,2,true,false,true,2,,,,,
o14744,3362,15027,24,23,true,1,0,0,1,0,1,3,3,0,2,1,1,2,true,false,true,2,,,,,
o60982,3371,13552,39,38,true,1,0,0,12,0,1,3,3,0,7,1,1,2,true,false,true,2,,,,,
o65465,3372,11774,26,25,true,1,0,1,1,0,2,3,2,0,5,0,1,2,true,false,true,2,,,,,
o66139,3375,64,2,2,true,1,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o8485,3384,64,2,2,true,1,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o41326,3385,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o62964,3392,22781,40,38,true,0,0,0,0,0,1,6,4,1,7,1,1,4,true,false,true,2,,,,,
