objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
kb_958_Normalized,242,475,54,52,true,1,2,3,5,0,5,2,3,0,7,0,12,1,true,false,true,2,,,,,
kb_959_Normalized,242,475,48,47,true,0,0,1,0,0,1,1,0,1,36,0,5,1,true,false,true,2,,,,,
kb_960_Normalized,242,475,11,11,true,0,1,0,0,0,0,1,0,0,1,0,4,1,true,false,true,2,,,,,
kb_1062_Normalized,246,166,4,3,true,0,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
kb_1063_Normalized,246,166,4,3,true,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
kb_870_Normalized,337,859,41,39,true,0,4,1,7,0,1,2,1,0,2,0,15,1,true,false,true,2,,,,,
kb_871_Normalized,337,859,11,10,true,1,0,0,0,0,0,2,1,0,1,1,1,0,true,false,true,2,,,,,
kb_872_Normalized,337,859,13,12,true,0,0,1,0,0,1,1,1,0,2,0,4,1,true,false,true,2,,,,,
kb_919_Normalized,351,859,13,12,true,0,0,0,1,0,0,1,1,0,2,0,1,0,true,false,true,2,,,,,
kb_916_Normalized,361,859,9,8,true,1,0,0,1,0,0,1,2,0,1,0,1,0,true,false,true,2,,,,,
kb_917_Normalized,361,859,7,7,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
kb_918_Normalized,362,859,11,10,true,2,0,0,1,0,1,0,1,0,1,1,1,1,true,false,true,2,,,,,
kb_920_Normalized,362,859,14,13,true,0,1,0,1,0,1,1,2,0,2,1,1,1,true,false,true,2,,,,,
kb_11_Normalized,382,757,64,63,true,1,2,1,1,0,0,0,0,0,6,0,21,27,true,false,true,2,,,,,
kb_12_Normalized,382,757,10,9,true,1,0,0,1,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
kb_7_Normalized,385,739,9,8,true,1,0,0,0,0,0,0,1,0,1,0,1,2,true,false,true,2,,,,,
kb_8_Normalized,385,739,8,7,true,0,0,0,0,0,0,1,0,0,1,1,1,2,true,false,true,2,,,,,
kb_9_Normalized,385,739,9,8,true,0,0,0,1,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
kb_223_Normalized,391,1126,12,9,true,1,0,0,1,0,0,1,1,0,1,0,1,2,true,false,true,2,,,,,
kb_224_Normalized,391,1126,10,9,true,0,1,0,0,0,0,1,1,0,1,1,0,2,true,false,true,2,,,,,
kb_339_Normalized,396,696,15,14,true,1,0,0,3,0,1,1,0,0,4,1,1,0,true,false,true,2,,,,,
kb_340_Normalized,396,696,10,9,true,1,0,0,1,0,0,1,0,0,4,0,1,0,true,false,true,2,,,,,
kb_341_Normalized,396,696,10,9,true,1,0,0,0,0,0,1,0,0,4,0,2,0,true,false,true,2,,,,,
kb_1092_Normalized,398,739,10,9,true,1,0,0,1,0,0,1,0,0,1,1,2,2,true,false,true,2,,,,,
kb_1093_Normalized,398,739,15,14,true,0,0,0,1,0,1,1,1,0,1,0,3,4,true,false,true,2,,,,,
kb_703_Normalized,399,681,8,7,true,1,0,0,0,0,1,0,0,0,2,0,1,0,true,false,true,2,,,,,
kb_704_Normalized,399,681,8,7,true,0,0,0,1,0,0,1,1,0,2,0,1,1,true,false,true,2,,,,,
kb_463_Normalized,402,739,9,8,true,0,1,0,0,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
kb_464_Normalized,402,739,8,7,true,1,0,0,0,0,1,0,1,0,1,0,1,1,true,false,true,2,,,,,
kb_715_Normalized,417,820,9,8,true,0,0,0,0,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
kb_716_Normalized,417,820,11,10,true,0,0,0,0,0,0,0,0,0,1,0,1,5,true,false,true,2,,,,,
kb_705_Normalized,437,454,7,6,true,1,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
kb_706_Normalized,437,454,6,5,true,0,0,0,1,0,0,0,1,0,0,0,3,0,true,false,true,2,,,,,
kb_360_Normalized,440,739,7,6,true,0,0,0,1,0,0,0,0,1,1,0,1,1,true,false,true,2,,,,,
kb_361_Normalized,440,739,10,9,true,1,0,0,0,0,0,0,1,0,1,0,2,1,true,false,true,2,,,,,
kb_883_Normalized,441,862,7,6,true,1,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
kb_541_Normalized,444,460,5,4,true,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
kb_542_Normalized,444,460,6,5,true,1,0,0,0,0,0,0,0,0,0,0,2,0,true,false,true,2,,,,,
kb_10_Normalized,447,757,10,9,true,0,0,0,1,0,0,1,0,0,1,0,1,3,true,false,true,2,,,,,
kb_772_Normalized,447,739,9,8,true,1,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
kb_773_Normalized,447,739,9,8,true,0,1,0,0,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
kb_882_Normalized,461,862,6,5,true,0,0,0,1,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
kb_884_Normalized,461,862,6,5,true,0,0,0,1,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
kb_885_Normalized,461,862,6,6,true,0,0,0,0,0,0,1,1,0,1,0,0,1,true,false,true,2,,,,,
kb_217_Normalized,500,166,3,3,true,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
kb_218_Normalized,500,166,4,3,true,1,0,0,0,0,0,1,0,0,0,1,0,0,true,false,true,2,,,,,
kb_219_Normalized,500,166,3,2,true,0,0,0,1,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
kb_333_Normalized,500,693,9,7,true,0,0,0,1,0,0,1,0,0,2,0,1,1,true,false,true,2,,,,,
kb_334_Normalized,500,693,7,6,true,0,0,0,1,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
kb_1056_Normalized,515,1518,12,10,true,0,0,0,1,0,0,2,0,0,2,0,1,2,true,false,true,2,,,,,
kb_1057_Normalized,515,1518,11,11,true,0,0,1,0,0,1,1,0,0,1,0,2,2,true,false,true,2,,,,,
kb_297_Normalized,518,463,9,8,true,1,0,0,0,0,0,0,1,0,0,0,4,0,true,false,true,2,,,,,
kb_298_Normalized,518,463,5,4,true,1,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
kb_299_Normalized,518,463,6,5,true,0,0,0,1,0,0,0,0,1,1,0,1,0,true,false,true,2,,,,,
kb_383_Normalized,523,739,8,7,true,0,0,0,1,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
kb_384_Normalized,523,739,7,6,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
kb_754_Normalized,524,708,7,7,true,0,0,1,0,0,0,1,0,0,2,0,1,1,true,false,true,2,,,,,
kb_755_Normalized,524,708,6,6,true,0,0,0,0,0,0,1,0,0,2,0,1,1,true,false,true,2,,,,,
kb_423_Normalized,526,1518,10,10,true,0,0,0,0,0,0,0,0,0,1,0,1,3,true,false,true,2,,,,,
kb_424_Normalized,526,1518,10,9,true,0,1,0,0,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
kb_131_Normalized,527,693,9,8,true,0,0,0,1,0,0,1,2,0,2,0,1,1,true,false,true,2,,,,,
kb_132_Normalized,527,693,7,6,true,0,0,1,0,0,0,1,0,1,1,0,1,0,true,false,true,2,,,,,
kb_81_Normalized,531,877,6,5,true,0,0,0,1,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
kb_82_Normalized,531,877,7,6,true,0,0,1,0,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
